Area,Item,Year,Export_V(1000USD),Import_V(1000USD)
Indonesia,Maize,2018,72937.0,159548.0
Indonesia,"Meat, cattle",2008,6.0,4956.0
Indonesia,"Meat, cattle",2009,7.0,7319.0
Indonesia,"Meat, cattle",2010,0.0,9083.0
Indonesia,"Meat, cattle",2011,0.0,15692.0
Indonesia,"Meat, cattle",2012,0.0,3452.0
Indonesia,"Meat, cattle",2013,0.0,11757.0
Indonesia,"Meat, cattle",2016,0.0,32554.0
Indonesia,"Meat, chicken",2008,88.0,8261.0
Indonesia,"Meat, chicken",2009,0.0,3859.0
Indonesia,"Meat, chicken",2010,71.0,238.0
Indonesia,"Meat, chicken",2011,36.0,29.0
Indonesia,"Meat, chicken",2012,21.0,35.0
Indonesia,"Meat, chicken",2013,0.0,33.0
Indonesia,"Meat, chicken",2017,4.0,0.0
Indonesia,"Meat, chicken",2018,29.0,0.0
Indonesia,"Meat, duck",2008,0.0,958.0
Indonesia,"Meat, duck",2009,0.0,813.0
Indonesia,"Meat, duck",2010,26.0,889.0
Indonesia,"Meat, duck",2011,0.0,856.0
Indonesia,"Meat, duck",2012,0.0,468.0
Indonesia,"Meat, duck",2013,0.0,2349.0
Indonesia,"Meat, duck",2015,1.0,3432.0
Indonesia,"Meat, sheep",2008,19.0,2400.0
Indonesia,"Meat, sheep",2009,0.0,3250.0
Indonesia,"Meat, sheep",2010,0.0,5462.0
Indonesia,"Meat, sheep",2011,9.0,6045.0
Indonesia,"Meat, sheep",2012,0.0,7841.0
Indonesia,"Meat, sheep",2013,0.0,8360.0
Indonesia,"Meat, sheep",2016,1.0,10879.0
Indonesia,"Meat, sheep",2017,1.0,13074.0
Indonesia,"Milk, whole fresh cow",2008,9918.0,18057.0
Indonesia,"Milk, whole fresh cow",2009,9930.0,8509.0
Indonesia,"Milk, whole fresh cow",2010,11694.0,699.0
Indonesia,"Milk, whole fresh cow",2011,14699.0,880.0
Indonesia,"Milk, whole fresh cow",2012,16132.0,345.0
Indonesia,"Milk, whole fresh cow",2013,16207.0,200.0
Indonesia,"Milk, whole fresh cow",2014,13515.0,259.0
Indonesia,"Milk, whole fresh cow",2015,7026.0,81.0
Indonesia,"Milk, whole fresh cow",2016,3504.0,155.0
Indonesia,"Milk, whole fresh cow",2017,4069.0,257.0
Indonesia,"Milk, whole fresh cow",2018,4512.0,395.0
Indonesia,"Oil, palm kernel",2008,1423958.0,3940.0
Indonesia,"Oil, palm kernel",2009,1091798.0,1560.0
Indonesia,"Oil, palm kernel",2010,1727694.0,2208.0
Indonesia,"Oil, palm kernel",2011,2113877.0,3284.0
Indonesia,"Oil, palm kernel",2012,1510486.0,1216.0
Indonesia,"Oil, palm kernel",2013,1301985.0,499.0
Indonesia,"Oil, palm kernel",2014,1540691.0,1.0
Indonesia,"Oil, palm kernel",2015,1566282.0,31.0
Indonesia,"Oil, palm kernel",2016,1910531.0,28.0
Indonesia,"Oil, palm kernel",2017,2211348.0,1.0
Indonesia,"Oil, palm kernel",2018,1701530.0,69.0
Indonesia,"Onions, dry",2008,155.0,15255.0
Indonesia,"Onions, dry",2009,69.0,12826.0
Indonesia,"Onions, dry",2010,36.0,22475.0
Indonesia,"Onions, dry",2011,32.0,32064.0
Indonesia,"Onions, dry",2012,13.0,24399.0
Indonesia,"Onions, dry",2013,6.0,13945.0
Indonesia,"Onions, dry",2014,59.0,36180.0
Indonesia,"Onions, dry",2015,20.0,20591.0
Indonesia,"Onions, dry",2016,7.0,45675.0
Indonesia,"Onions, dry",2017,50.0,70729.0
Indonesia,"Onions, dry",2018,4.0,56628.0
Indonesia,"Onions, shallots, green",2008,4534.0,53814.0
Indonesia,"Onions, shallots, green",2009,4331.0,28942.0
Indonesia,"Onions, shallots, green",2010,1814.0,33862.0
Indonesia,"Onions, shallots, green",2011,6594.0,77444.0
Indonesia,"Onions, shallots, green",2012,8812.0,42834.0
Indonesia,"Onions, shallots, green",2013,2985.0,54009.0
Indonesia,"Onions, shallots, green",2014,2978.0,28309.0
Indonesia,"Onions, shallots, green",2015,7846.0,5441.0
Indonesia,"Onions, shallots, green",2016,403.0,1167.0
Indonesia,"Onions, shallots, green",2018,6297.0,0.0
Indonesia,"Rice, paddy",2008,345.0,8976.0
Indonesia,"Rice, paddy",2009,110.0,15565.0
Indonesia,"Rice, paddy",2010,0.0,14779.0
Indonesia,"Rice, paddy",2011,0.0,20791.0
Indonesia,"Rice, paddy",2012,267.0,29140.0
Indonesia,"Rice, paddy",2013,2.0,3626.0
Indonesia,"Rice, paddy",2014,56.0,4548.0
Indonesia,"Rice, paddy",2015,13.0,4251.0
Indonesia,"Rice, paddy",2016,353.0,6508.0
Indonesia,"Rice, paddy",2017,2.0,10099.0
Indonesia,"Rice, paddy",2018,17.0,1099.0
Lao People's Democratic Republic,Bananas,2008,2671.0,355.0
Lao People's Democratic Republic,Bananas,2009,1335.0,786.0
Lao People's Democratic Republic,Bananas,2010,1758.0,1467.0
Lao People's Democratic Republic,Bananas,2011,2270.0,1045.0
Lao People's Democratic Republic,Bananas,2012,2922.0,2.0
Lao People's Democratic Republic,Bananas,2013,3106.0,2.0
Lao People's Democratic Republic,Bananas,2015,3520.0,2288.0
Lao People's Democratic Republic,Bananas,2016,14265.0,153.0
Lao People's Democratic Republic,Bananas,2017,7050.0,53.0
Lao People's Democratic Republic,Bananas,2018,7719.0,273.0
Lao People's Democratic Republic,Cassava,2014,15065.0,5.0
Lao People's Democratic Republic,Cassava,2015,27826.0,11.0
Lao People's Democratic Republic,Cassava,2016,62203.0,6.0
Lao People's Democratic Republic,Cassava,2017,87233.0,1.0
Lao People's Democratic Republic,Cassava,2018,75932.0,11.0
Lao People's Democratic Republic,"Eggs, hen, in shell",2018,1.0,154.0
Lao People's Democratic Republic,Garlic,2014,37.0,113.0
Lao People's Democratic Republic,Garlic,2015,105.0,583.0
Lao People's Democratic Republic,Garlic,2016,73.0,687.0
Lao People's Democratic Republic,Garlic,2017,498.0,988.0
Lao People's Democratic Republic,Garlic,2018,736.0,1211.0
Lao People's Democratic Republic,Maize,2008,14442.0,800.0
Lao People's Democratic Republic,Maize,2009,24984.0,0.0
Lao People's Democratic Republic,Maize,2010,26114.0,1063.0
Lao People's Democratic Republic,Maize,2011,25693.0,2214.0
Lao People's Democratic Republic,Maize,2012,27251.0,2016.0
Lao People's Democratic Republic,Maize,2013,42590.0,2020.0
Lao People's Democratic Republic,Maize,2014,32178.0,2390.0
Lao People's Democratic Republic,Maize,2015,53932.0,1250.0
Lao People's Democratic Republic,Maize,2016,29515.0,932.0
Lao People's Democratic Republic,Maize,2017,45133.0,1373.0
Lao People's Democratic Republic,Maize,2018,43426.0,1921.0
Lao People's Democratic Republic,"Meat, cattle",2014,37.0,12877.0
Lao People's Democratic Republic,"Meat, cattle",2015,1496.0,240.0
Lao People's Democratic Republic,"Meat, cattle",2016,227.0,1647.0
Lao People's Democratic Republic,"Meat, cattle",2017,2575.0,1798.0
Lao People's Democratic Republic,"Meat, cattle",2018,1853.0,3017.0
Lao People's Democratic Republic,"Meat, chicken",2014,31.0,137209.0
Lao People's Democratic Republic,"Meat, chicken",2015,648.0,95833.0
Lao People's Democratic Republic,"Meat, chicken",2016,38.0,127369.0
Lao People's Democratic Republic,"Meat, chicken",2018,180.0,99282.0
Lao People's Democratic Republic,"Meat, duck",2015,343.0,1722.0
Lao People's Democratic Republic,"Milk, whole fresh cow",2015,44.0,321.0
Lao People's Democratic Republic,"Oil, palm kernel",2015,1.0,3.0
Lao People's Democratic Republic,"Onions, dry",2014,2.0,651.0
Lao People's Democratic Republic,"Onions, dry",2018,1.0,43.0
Lao People's Democratic Republic,"Onions, shallots, green",2014,0.0,248.0
Lao People's Democratic Republic,"Onions, shallots, green",2015,39.0,852.0
Lao People's Democratic Republic,"Onions, shallots, green",2016,14.0,858.0
Lao People's Democratic Republic,"Onions, shallots, green",2017,299.0,1268.0
Lao People's Democratic Republic,"Onions, shallots, green",2018,1026.0,1726.0
Lao People's Democratic Republic,"Rice, paddy",2014,2894.0,36.0
Lao People's Democratic Republic,"Rice, paddy",2015,2595.0,2106.0
Lao People's Democratic Republic,"Rice, paddy",2016,5493.0,336.0
Lao People's Democratic Republic,"Rice, paddy",2017,6735.0,127.0
Lao People's Democratic Republic,"Rice, paddy",2018,4877.0,21.0
Malaysia,Bananas,2008,6186.0,202.0
Malaysia,Bananas,2009,5786.0,188.0
Malaysia,Bananas,2010,7009.0,382.0
Malaysia,Bananas,2011,8087.0,838.0
Malaysia,Bananas,2012,6852.0,2571.0
Malaysia,Bananas,2013,7118.0,6866.0
Malaysia,Bananas,2014,7711.0,9744.0
Malaysia,Bananas,2015,7547.0,9487.0
Malaysia,Bananas,2016,8243.0,8600.0
Malaysia,Bananas,2017,9405.0,8677.0
Malaysia,Bananas,2018,8417.0,8968.0
Malaysia,"Eggs, hen, in shell",2008,90792.0,538.0
Malaysia,"Eggs, hen, in shell",2009,88460.0,263.0
Malaysia,"Eggs, hen, in shell",2010,103368.0,106.0
Malaysia,"Eggs, hen, in shell",2011,126789.0,19.0
Malaysia,"Eggs, hen, in shell",2012,134256.0,132.0
Malaysia,"Eggs, hen, in shell",2013,134940.0,146.0
Malaysia,"Eggs, hen, in shell",2014,144836.0,107.0
Malaysia,"Eggs, hen, in shell",2015,116330.0,236.0
Malaysia,"Eggs, hen, in shell",2016,106197.0,215.0
Malaysia,"Eggs, hen, in shell",2017,109881.0,108.0
Malaysia,"Eggs, hen, in shell",2018,142472.0,172.0
Malaysia,Garlic,2008,8617.0,24868.0
Malaysia,Garlic,2009,3383.0,62816.0
Malaysia,Garlic,2010,3459.0,132078.0
Malaysia,Garlic,2011,3036.0,93619.0
Malaysia,Garlic,2012,4454.0,94622.0
Malaysia,Garlic,2013,7279.0,85694.0
Malaysia,Garlic,2014,7654.0,79283.0
Malaysia,Garlic,2015,14932.0,124004.0
Malaysia,Garlic,2016,11608.0,235108.0
Malaysia,Garlic,2017,23532.0,186594.0
Malaysia,Garlic,2018,12968.0,100348.0
Malaysia,Maize,2008,159.0,670171.0
Malaysia,Maize,2009,296.0,567636.0
Malaysia,Maize,2010,661.0,766550.0
Malaysia,Maize,2011,1284.0,933618.0
Malaysia,Maize,2012,3984.0,931265.0
Malaysia,Maize,2013,6013.0,995599.0
Malaysia,Maize,2014,552.0,961458.0
Malaysia,Maize,2015,3864.0,772346.0
Malaysia,Maize,2016,9401.0,711141.0
Malaysia,Maize,2017,8801.0,737073.0
Malaysia,Maize,2018,3089.0,822973.0
Malaysia,"Meat, cattle",2008,35.0,15336.0
Malaysia,"Meat, cattle",2009,266.0,13219.0
Malaysia,"Meat, cattle",2010,177.0,16112.0
Malaysia,"Meat, cattle",2011,184.0,23745.0
Malaysia,"Meat, cattle",2012,863.0,25580.0
Malaysia,"Meat, cattle",2013,736.0,21856.0
Malaysia,"Meat, cattle",2014,221.0,31934.0
Malaysia,"Meat, cattle",2015,405.0,48642.0
Malaysia,"Meat, cattle",2017,353.0,35221.0
Malaysia,"Meat, cattle",2018,14.0,36385.0
Malaysia,"Meat, chicken",2008,3133.0,65132.0
Malaysia,"Meat, chicken",2009,5267.0,48931.0
Malaysia,"Meat, chicken",2010,7098.0,68751.0
Malaysia,"Meat, chicken",2011,9265.0,103836.0
Malaysia,"Meat, chicken",2012,9435.0,106215.0
Malaysia,"Meat, chicken",2013,8457.0,108807.0
