Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1017","Meat, goat","2001","2001","7021","Annual value","","54.51","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","882","Milk, whole fresh cow","2001","2001","7021","Annual value","","67.22","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","402","Onions, shallots, green","2001","2001","7021","Annual value","","78.43","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","27","Rice, paddy","2001","2001","7021","Annual value","","132.97","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","486","Bananas","2002","2002","7021","Annual value","","73.38","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","125","Cassava","2002","2002","7021","Annual value","","112.7","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1062","Eggs, hen, in shell","2002","2002","7021","Annual value","","77.12","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","56","Maize","2002","2002","7021","Annual value","","21.66","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2002","2002","7021","Annual value","","42.62","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2002","2002","7021","Annual value","","85.58","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1069","Meat, duck","2002","2002","7021","Annual value","","63.33","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1017","Meat, goat","2002","2002","7021","Annual value","","57.34","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","882","Milk, whole fresh cow","2002","2002","7021","Annual value","","67.22","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","402","Onions, shallots, green","2002","2002","7021","Annual value","","68.99","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","27","Rice, paddy","2002","2002","7021","Annual value","","130.02","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","486","Bananas","2003","2003","7021","Annual value","","72.33","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","125","Cassava","2003","2003","7021","Annual value","","103.23","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1062","Eggs, hen, in shell","2003","2003","7021","Annual value","","72.3","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","56","Maize","2003","2003","7021","Annual value","","21.66","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2003","2003","7021","Annual value","","42.78","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2003","2003","7021","Annual value","","79.88","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1069","Meat, duck","2003","2003","7021","Annual value","","60.13","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1017","Meat, goat","2003","2003","7021","Annual value","","55.05","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","882","Milk, whole fresh cow","2003","2003","7021","Annual value","","67.22","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","402","Onions, shallots, green","2003","2003","7021","Annual value","","65.25","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","27","Rice, paddy","2003","2003","7021","Annual value","","126.64","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","486","Bananas","2004","2004","7021","Annual value","","69.71","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","125","Cassava","2004","2004","7021","Annual value","","69.68","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1062","Eggs, hen, in shell","2004","2004","7021","Annual value","","72.3","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","56","Maize","2004","2004","7021","Annual value","","19.08","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","2004","2004","7021","Annual value","","53.69","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2004","2004","7021","Annual value","","87.16","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1069","Meat, duck","2004","2004","7021","Annual value","","57.16","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","1017","Meat, goat","2004","2004","7021","Annual value","","43.17","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","882","Milk, whole fresh cow","2004","2004","7021","Annual value","","67.22","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","402","Onions, shallots, green","2004","2004","7021","Annual value","","65.56","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","27","Rice, paddy","2004","2004","7021","Annual value","","122.84","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5539","Producer Price Index (2014-2016 = 100)","486","Bananas","2005","2005","7021","Annual value","","59.75","Fc","Calculated data"
